SAMPLES;Date;EC;FE;CP;SomPhg;HMBactPhg;CWBactPhg;PGBactPhg;PLBactPhg;BifSorb;BifTot;HMBif;CWBif;PGNeo;PLBif;TLBif;BacR;Pig2Bac;AllBac;HF183TaqMan;FEqPCR;HMMit;CWMit;PGMit;PLMit;Acesulfame;Cyclamate;Saccharain ;Sucralose;Adeno;NoV;
F05HM_W;11/03/2014;6.59E+05;6.55E+04;8.14E+03;4.73E+04;1.00E+01;<5;<5;<5;1.52E+06;3.76E+06;2.06E+04;<3.00E+04;5.77E+06;<3.57E+03;2.68E+07;1.13E+02;<4.79E+02;5.25E+09;2.07E+07;4.35E+08;8.1E+04;<1.0E+04;<1.6E+04;<1.0E+04;230;<50;<50;84;<4.0E+04;2.04E+05;
F06HM_W;11/03/2014;1.24E+06;9.59E+04;1.13E+04;4.02E+04;<5;<5;<5;1.45E+02;3.00E+06;7.05E+06;8.08E+05;<3.00E+04;8.31E+06;<3.57E+03;1.94E+07;<4.79E+02;<4.79E+02;3.37E+09;7.02E+07;6.13E+08;4.6E+05;<1.0E+04;<1.6E+04;<1.0E+04;390;580;260;160;<4.0E+04;1.59E+05;
F07PG_W;11/03/2014;1.95E+05;2.82E+04;1.81E+03;1.05E+05;<5;<5;5.00E+00;<5;<1.0E+04;6.00E+07;<6.40E+04;1.62E+06;<3.60E+04;<3.57E+03;1.48E+07;<4.79E+02;4.79E+08;6.93E+09;<4.79E+02;9.25E+06;<1.6E+04;<1.0E+04;2.4E+05;<1.0E+04;<50;<50;<50;<50;<4.0E+04;2.40E+04;
F08CW_W;11/03/2014;1.67E+05;8.30E+04;< 1.0E+01;1.00E+02;<5;<5;<5;<5;1.45E+04;7.95E+04;<6.40E+04;<3.00E+04;6.42E+06;<3.57E+03;2.43E+07;1.49E+08;<4.79E+02;2.22E+09;<4.79E+02;9.22E+07;7.1E+04;2.6E+06;<1.6E+04;<1.0E+04;<50;<50;<50;<50;<4.0E+04;<8.0E+02;
F09PL_W;11/03/2014;3.00E+07;5.75E+06;< 1.0E+01;1.85E+03;<5;<5;<5;<5;< 1.0E+05;6.0E+07;<6.40E+04;2.85E+06;<3.60E+04;1.19E+07;2.53E+07;<4.79E+02;<4.79E+02;1.36E+09;<4.79E+02;1.75E+09;<1.6E+04;<1.0E+04;<1.6E+04;1.7E+06;<50;<50;<50;<50;<4.0E+04;<8.0E+02;
F10HM-P;26/05/2014;1.89E+06;8.73E+04;7.27E+03;7.64E+04;3.10E+03;<5;<5;5.00E+01;2.77E+06;5.95E+06;2.11E+05;<3.00E+04;<3.60E+04;<3.57E+03;1.84E+06;1.20E+02;1.53E+03;3.77E+09;6.81E+07;1.77E+09;1.4E+05;<1.0E+04;<1.6E+04;<1.0E+04;400;110;<50;140;7.5E+05;2.46E+05;
F11HM-P;26/05/2014;9.95E+05;9.50E+04;1.05E+04;2.38E+05;5.00E+03;<5;<5;5.05E+02;6.82E+06;1.09E+07;1.22E+05;5.98E+05;<3.60E+04;<3.57E+03;1.25E+07;<4.79E+02;<4.79E+02;1.33E+09;4.54E+07;1.72E+09;2.2E+05;<1.0E+04;<1.6E+04;<1.0E+04;560;210;<50;180;2.1E+05;1.82E+05;
F12CW-P;26/05/2014;4.59E+04;1.32E+04;1.98E+02;1.13E+04;<5;<5;<5;<5;2.00E+03;4.91E+04;<6.40E+04;7.17E+06;<3.60E+04;<3.57E+03;8.06E+06;1.15E+08;<4.79E+02;1.97E+09;<4.79E+02;1.74E+08;1.1E+05;1.1E+06;<1.6E+04;<1.0E+04;<50;<50;<50;<50;<4.0E+04;<8.0E+02;
F13PL-P;26/05/2014;7.41E+08;2.41E+06;1.85E+05;1.35E+05;<5;<5;<5;<5;4.77E+07;1.95E+08;<6.40E+04;<3.00E+04;<3.60E+04;3.15E+04;3.58E+05;<4.79E+02;<4.79E+02;8.89E+05;<4.79E+02;3.10E+10;<1.6E+04;<1.0E+04;<1.6E+04;8.7E+04;<50;<50;<50;100;<4.0E+04;<8.0E+02;
F14HM_S;25/08/2014;1.00E+06;8.00E+04;3.80E+03;2.60E+05;6.35E+03;<5;1.00E+01;2.00E+01;3.50E+06;5.30E+06;3.56E+06;1.26E+04;1.84E+06;<3.57E+03;5.52E+07;1.20E+02;4.53E+02;1.89E+09;3.05E+07;1.57E+08;4.6E+05;<1.0E+04;<1.6E+04;<1.0E+04;290;130;<50;130;3.0E+05;3.64E+04;
F15HM_S;25/08/2014;1.00E+06;9.20E+04;2.70E+03;2.00E+05;9.40E+03;<5;<5;3.50E+01;5.80E+06;8.20E+06;5.63E+06;<3.00E+04;2.01E+06;<3.57E+03;4.10E+07;<4.79E+02;<4.79E+02;1.41E+09;3.54E+07;2.65E+08;2.8E+05;<1.0E+04;<1.6E+04;<1.0E+04;540;320;<50;240;7.0E+05;3.16E+04;
F16PL_S;25/08/2014;3.90E+08;1.20E+08;8.80E+05;2.60E+07;<5;<5;<5;<5;4.00E+08;1.40E+09;<6.40E+04;<3.00E+04;<3.60E+04;6.81E+07;1.80E+08;<4.79E+02;<4.79E+02;1.29E+09;<4.79E+02;3.39E+08;<1.6E+04;<1.0E+04;<1.6E+04;2.7E+06;<50;<50;<50;<50;<4.0E+04;<8.0E+02;
F17CW_S;25/08/2014;5.80E+04;3.10E+04;2.70E+03;3.50E+02;<5;<5;<5;<5;2.70E+03;3.40E+04;<6.40E+04;6.72E+03;2.31E+05;<3.57E+03;1.45E+07;4.15E+06;<4.79E+02;4.69E+08;<4.79E+02;2.58E+07;<1.6E+04;2.4E+05;<1.6E+04;<1.0E+04;<50;<50;<50;<50;<4.0E+04;<8.0E+02;
F18PL_S;25/08/2014;1.10E+08;1.10E+07;1.30E+03;8.30E+07;<5;<5;<5;<5;9.10E+06;1.90E+07;<6.40E+04;2.79E+06;4.60E+04;1.42E+06;1.74E+07;<4.79E+02;<4.79E+02;5.67E+09;<4.79E+02;6.82E+07;<1.6E+04;<1.0E+04;<1.6E+04;3.3E+07;<50;<50;<50;<50;<4.0E+04;<8.0E+02;
