SAMPLES;Date;EC;FE;CP;SomPhg;HMBactPhg;CWBactPhg;PGBactPhg;PLBactPhg;BifSorb;BifTot;HMBif;CWBif;PGNeo;PLBif;TLBif;BacR;Pig2Bac;AllBac;HF183TaqMan;FEqPCR;HMMit;CWMit;PGMit;PLMit;Acesulfame;Cyclamate;Saccharain ;Sucralose;Adeno;NoV;
P15CW-SP;04/06/2014;5.95E+08;5.70E+07;2.40E+05;4.95E+07;<5;<5;<5;<5;8.50E+06;1.18E+07;1.93E+06;8.01E+07;<3.60E+04;<3.57E+03;1.08E+08;2.24E+10;<4.79E+02;4.39E+11;<4.79E+02;1.02E+10;<1.6E+04;6.7E+07;<1.6E+04;<1.0E+04;<50;<50;<50;<50;<4.0E+04;<8.0E+02;
P16CW-SP;04/06/2014;1.85E+05;2.70E+04;1.77E+03;5.25E+04;<5;<5;<5;<5;6.50E+06;9.50E+06;3.92E+06;3.66E+07;<3.60E+04;<3.57E+03;4.38E+07;2.66E+08;<4.79E+02;2.98E+09;<4.79E+02;2.30E+08;<1.6E+04;2.5E+06;<1.6E+04;<1.0E+04;<50;<50;<50;<50;<4.0E+04;<8.0E+02;
P17PG-SP;04/06/2014;4.00E+05;2.15E+05;3.15E+02;3.65E+05;<5;<5;1.95E+02;<5;1.15E+04;6.50E+04;<6.40E+04;7.68E+05;1.74E+06;<3.57E+03;2.48E+07;<4.79E+02;5.92E+06;7.16E+09;<4.79E+02;1.18E+08;1.5E+05;<1.0E+04;<1.6E+04;<1.0E+04;<50;<50;<50;1100;<4.0E+04;2.24E+04;
P18PG-SP;04/06/2014;1.50E+05;5.70E+05;9.10E+02;8.70E+04;<5;<5;1.00E+02;<5;5.00E+03;1.25E+04;<6.40E+04;7.11E+05;1.37E+06;<3.57E+03;1.72E+07;<4.79E+02;5.29E+06;3.94E+09;<4.79E+02;5.33E+08;<1.6E+04;<1.0E+04;<1.6E+04;<1.0E+04;<50;<50;<50;250;<4.0E+04;2.00E+03;
P19PL-SP;04/06/2014;3.63E+08;5.10E+07;1.24E+04;7.70E+08;<5;<5;<5;8.10E+01;1.05E+06;1.75E+07;<6.40E+04;<3.57E+03;<3.60E+04;3.31E+07;9.63E+07;<4.79E+02;<4.79E+02;6.67E+09;1.12E+07;7.21E+08;<1.6E+04;<1.0E+04;<1.6E+04;7.4E+05;<50;<50;<50;<50;<4.0E+04;<8.0E+02;
P20PL-SP;04/06/2014;2.15E+05;6.75E+04;1.25E+02;3.00E+05;<5;<5;<5;<5;3.95E+04;6.00E+04;<6.40E+04;<3.57E+03;<3.60E+04;3.23E+05;1.84E+06;<4.79E+02;<4.79E+02;1.61E+07;3.07E+05;3.45E+07;<1.6E+04;<1.0E+04;<1.6E+04;3.4E+03;<50;<50;<50;<50;<4.0E+04;<8.0E+02;
P21HM;10/09/2014;4.40E+04;9.25E+03;5.27E+02;1.55E+03;3.28E+04;<5;<5;<5;2.00E+04;5.15E+05;3.71E+05;4.59E+04;2.86E+05;3.50E+05;6.64E+06;<4.79E+02;<4.79E+02;5.38E+06;3.11E+05;17585594.22;1.8E+04;<1.0E+04;<1.6E+04;1.2E+04;95;320;<50;87;<4.0E+04;1.8E+04;
P22HM;10/09/2014;4.65E+04;1.10E+04;5.05E+02;9.50E+02;2.63E+04;<5;<5;<5;1.45E+04;4.55E+05;7.46E+05;1.34E+04;2.32E+05;1.64E+06;1.11E+07;<4.79E+02;<4.79E+02;5.05E+06;9.41E+05;15002993.33;8.5E+04;<1.0E+04;<1.6E+04;1.2E+04;59;190;<50;<50;<4.0E+04;1.5E+04;
P23PL;10/09/2014;1.67E+06;1.75E+04;2.00E+03;2.27E+06;3.65E+02;<5;<5;4.77E+02;<50;7.50E+04;<6.40E+04;<3.57E+03;<3.60E+04;3.16E+06;1.73E+07;<4.79E+02;<4.79E+02;1.89E+09;9.24E+05;17829057.24;4.6E+04;<1.0E+04;<1.6E+04;1.1E+07;<50;<50;<50;<50;<4.0E+04;<8.0E+02;
P24CT;10/09/2014;2.28E+07;4.81E+09;3.61E+04;0.00E+00;<5;<5;<5;<5;2.30E+06;7.25E+06;<6.40E+04;<3.57E+03;1.55E+03;7.99E+06;1.40E+07;<4.79E+02;<4.79E+02;2.34E+09;1.34E+03;751837290.6;<1.6E+04;<1.0E+04;<1.6E+04;<1.0E+04;<50;<50;<50;<50;<4.0E+04;NA;
